"","silhouette_matrix.clusters","silhouette_matrix.neighbor_clusters","silhouette_matrix.intra_clust_dissim","silhouette_matrix.outer_clust_dissim","silhouette_matrix.silhouette_widths","silhouette_matrix.diameter","silhouette_matrix.separation"
"53",27,2,0.697234795879663,0.618913389608438,-0.112331465288406,1.3302408340289,0.0735872038095434
"54",20,18,0.385847625433964,0.632825800002476,0.390278295492292,1.01165994311424,0.247711791450421
"55",12,4,0.683531982215282,0.707671355986761,0.0341109945559687,2.08216608217751,0.118053933125361
"56",27,9,0.903171340167477,1.20059072506714,0.247727538360777,1.42327585932871,0.447845071095034
"57",15,14,0.664037568102714,0.729673622956605,0.0899526209922954,1.18994413045085,0.124647179025177
"58",2,20,0.589556905833674,0.838854697755513,0.297188288494866,1.00444053669529,0.295896828298831
"59",20,2,0.388860547608737,0.683617350597163,0.431172208737748,1.09287630081589,0.29438603466663
"60",19,15,0.836437866762299,0.819341226554479,-0.0204398209205878,1.79524505982497,0.0767221700868566
"61",27,9,0.94843832681977,1.08888562890002,0.128982602352948,1.5008765361279,0.334490715894521
"62",21,27,1.40475689509458,1.49139614910603,0.0580927167227757,3.03337827610927,0.366376142330163
"63",21,27,1.11541720921254,1.41499933383231,0.211718915660827,2.73847119164358,0.651916691899536
"64",27,2,1.05945608802215,0.985621774511322,-0.0696907727895254,1.69661795550897,0.262796915002226
"65",20,18,0.431620692382849,0.69896387920058,0.382484982090201,0.885452111176377,0.307704761743681
"66",20,2,0.571827667885712,0.742229818201762,0.229581385895938,0.978568905177654,0.264704674440704
"67",13,12,0.912574905624281,1.5222860096432,0.40052335773737,1.35490562916507,0.634804054063925
"68",29,9,0.9670057327891,1.31073487339116,0.262241546768917,1.77897607978519,0.402387964078754
"69",11,15,0.581946864103478,0.7736388749277,0.247779703213773,0.955194993864891,0.206058943947847
"70",17,18,0.309456841929677,0.5115519189247,0.395062689667618,0.818060304413788,0.123702518579199
"71",17,1,0.349931308748485,0.491756516806625,0.288405345350837,0.83741546594292,0.136125989189204
"72",7,26,1.03998006159919,1.10434886742966,0.05828665897968,2.98885070465102,0.287562647371484
"73",11,15,0.580782923941097,1.06533264203723,0.45483419823646,0.970764506176032,0.431718985294148
"74",26,1,0.632081069122049,1.04794597773758,0.396838117088195,1.0927309851448,0.550324481118167
"75",1,17,0.36476301043942,0.515063307339664,0.291809365486653,0.848937051740211,0.206909913066109
"76",12,6,0.883487135161354,0.814741277085652,-0.0778119514588593,1.53950840583961,0.107746045732369
"77",17,18,0.272237249415652,0.637433603292483,0.572916695935878,0.770405001808269,0.273899913712717
"78",1,17,0.445558497323667,0.445584859169494,5.91623464869517e-05,1.0317544010177,0.0688156117587621
