sta,lat,lon
DRAGON_Henties_1,-22.052274,14.295125
DRAGON_Henties_2,-22.115908,14.339791
DRAGON_Henties_3,-22.184012,14.377948
DRAGON_Henties_4,-22.020377,14.345504
DRAGON_Henties_5,-22.091751,14.399573
DRAGON_Henties_6,-22.166736,14.430668
DRAGON_Jalan_ChainF,5.400542,100.381339
DRAGON_KentIsland,38.9793,-76.307864
DRAGON_Kobe,34.72,135.291
DRAGON_Kohriyama,37.361042,140.3829
DRAGON_Kongju_NU,36.470623,127.140023
DRAGON_Konkuk_Univ,37.54205,127.079774
DRAGON_Korea_Univ,37.58514,127.02507
DRAGON_Kunsan_NU,35.941072,126.683008
DRAGON_Kyoto,35.026,135.781
DRAGON_Kyungil_Univ,36.038648,128.788442
DRAGON_LAREL,39.0808,-76.855
DRAGON_LAUMD,39.1428,-76.8592
DRAGON_ManvelCroix,29.520427,-95.392522
DRAGON_Matsue,35.48,133.01
DRAGON_MNKTN,39.572926,-76.652318
DRAGON_Mokpo_NU,34.91342,126.43736
DRAGON_Mt_Ikoma,34.6798,135.678667
DRAGON_Mt_Rokko,34.757,135.23
DRAGON_Nara,34.688,135.828
DRAGON_NIER,37.56893,126.63971
DRAGON_Nishiharima,35.026,134.336
DRAGON_NREL-Golden,39.743725,-105.17799
DRAGON_NW_Harris_CO,30.039444,-95.673889
DRAGON_OLNES,39.149148,-77.068267
DRAGON_ONNGS,39.387756,-76.81912
DRAGON_Osaka_Center,34.668477,135.530894
DRAGON_Osaka-North,34.774,135.51
DRAGON_Osaka-South,34.5435,135.503867
DRAGON_Padonia,39.462036,-76.631669
DRAGON_Parlier,36.59744,-119.50369
DRAGON_Pasadena,39.111638,-76.45544
DRAGON_PATUX,38.827168,-76.70938
DRAGON_Permatang_DL,5.277875,100.271253
DRAGON_PineyOrchard,39.060781,-76.719202
DRAGON_Platteville,40.182765,-104.7261
DRAGON_Pondok_Upeh,5.33325,100.22661
DRAGON_Porterville,36.03179,-119.05505
DRAGON_Pusan_NU,35.235354,129.082493
DRAGON_Pylesville,39.67515,-76.405349
DRAGON_Sanggye,37.65885,127.06845
DRAGON_SeabrookPark,29.583047,-95.015544
DRAGON_SHADY,38.840658,-76.506108
DRAGON_Shafter,35.50361,-119.2725
DRAGON_Sinjeong,37.52341,126.85863
DRAGON_Smith_Point,29.546244,-94.786969
DRAGON_Soha,37.45213,126.8847
DRAGON_SPBRK,39.0581,-77.0058
DRAGON_St_Johns_Is,1.21795,103.849615
DRAGON_Temasek_Poly,1.344821,103.930621
DRAGON_TKMPR,38.995278,-76.997222
DRAGON_Tsukuba,36.050556,140.120278
DRAGON_UH_Sugarland,29.5741,-95.652
DRAGON_UH_W_Liberty,30.0583,-94.9781
DRAGON_UiTM,5.38313,100.41631
DRAGON_UMRLB,38.891262,-76.814106
DRAGON_Visalia,36.31411,-119.39301
DRAGON_Welch,39.63878,-105.13951
DRAGON_Weld_Co_Twr,40.38636,-104.737445
DRAGON_West_Houston,29.833056,-95.656944
DRAGON_WileyFord,39.610446,-78.773648
DRAGON_Worton,39.285436,-76.091633
DRAGON_WSTFD,39.301577,-76.946248
DRAGON_Yishun_ITE,1.434638,103.844876
Dry_Tortugas,24.628056,-82.871944
Dunhuang,40.03838,94.794
Dunhuang_LZU,40.49237,94.95503
Dunkerque,51.03535,2.368117
Durban_UKZN,-29.817233,30.944011
Dushanbe,38.553264,68.857911
EastMalling_MO,51.29,0.44
Easton_Airport,38.80745,-76.07257
Easton-MDE,38.794972,-76.08425
Edinburgh,55.923967,-3.17915
Eforie,44.075,28.632222
Egbert,44.231543,-79.781414
Eilat,29.5025,34.9175
El_Arenosillo,37.105,-6.733472
El_Farafra,27.058,27.990167
