sta,obs_id,cluster id,year,month,day,hour,min,sec,lat,lon,elev,aod1c,aod2c,aod3c,aod4c,aod1t,aod2t,aod3t,aod4t,ssa1,ssa2,ssa3,ssa4,aod1a,aod2a,aod3a,aod4a,g1,g2,g3,g4,volcf,vmrf,stdf,volcc,vmrc,stdc,AEe1,AEe2,AEa,nr1,nr2,nr3,nr4,ni1,ni2,ni3,ni4
Rome_La_Sapienza,59213,26,2017,7,22,12,0,0,41.901695,12.515773,75,0.385844,0.279848,0.249885,0.233668,0.389514,0.281129,0.250229,0.2359,0.910633,0.9635,0.958167,0.965067,0.0389,0.011842,0.012237,0.009722,0.73261,0.698733,0.704435,0.713964,0.043714,0.123714,0.459571,0.173286,2.363286,0.635714,0.668219,0.370720305,1.803093,1.4558,1.477867,1.486267,1.4805,0.004948,0.001685,0.00222,0.002017
Rome_La_Sapienza,59217,16,2017,9,9,12,0,0,41.901695,12.515773,75,0.380532,0.228051,0.161137,0.129219,0.38146,0.22998,0.16172,0.13026,0.99485,0.99445,0.9939,0.99355,0.002265,0.001439,0.001096,0.000916,0.697346,0.6554,0.632348,0.629061,0.0314,0.208,0.4274,0.0578,2.415,0.6652,1.243296,1.360037764,1.062919,1.5835,1.57025,1.56205,1.54595,0.0005,0.0005,0.000501,0.000503
Rome_Tor_Vergata,59221,4,2001,7,31,12,0,0,41.83955,12.647333,130,0.259134,0.112474,0.079284,0.059272,0.260243,0.116586,0.075971,0.057929,0.9183,0.8842,0.848,0.832,0.035847,0.023331,0.020334,0.017444,0.687569,0.59646,0.551079,0.541304,0.041714,0.155857,0.404714,0.029857,3.526857,0.616429,1.848621,1.704548998,0.853079,1.33,1.346,1.3666,1.3764,0.007624,0.007731,0.008785,0.008869
Rome_Tor_Vergata,59225,12,2001,8,23,12,0,0,41.83955,12.647333,130,0.395306,0.187794,0.134033,0.098758,0.39545,0.19275,0.1289,0.0977,0.945,0.9266,0.9071,0.8962,0.022708,0.014696,0.012444,0.010557,0.71206,0.613557,0.562307,0.544849,0.071,0.162,0.467,0.033,3.237,0.621,1.654482,1.742280721,0.900012,1.3879,1.4083,1.4347,1.4407,0.006307,0.006499,0.007394,0.007475
Rome_Tor_Vergata,59229,12,2001,8,28,12,0,0,41.83955,12.647333,130,0.382376,0.1869,0.120867,0.089601,0.38335,0.187125,0.120325,0.089675,0.93805,0.9144,0.8745,0.85785,0.02716,0.018481,0.017155,0.014405,0.710167,0.631492,0.58049,0.558885,0.0455,0.179,0.42575,0.03125,3.05425,0.6425,1.703257,1.848332167,0.701956,1.49245,1.47075,1.4678,1.46,0.009608,0.010538,0.01349,0.013447
Rome_Tor_Vergata,59231,28,2001,10,20,12,0,0,41.83955,12.647333,130,0.326476,0.200108,0.163752,0.139123,0.327743,0.202457,0.162371,0.140714,0.95895,0.98375,0.96665,0.97435,0.017548,0.004546,0.007614,0.005153,0.736288,0.691623,0.67525,0.678373,0.032,0.191857,0.477857,0.070143,2.144,0.638429,1.073908,0.899975818,1.915956,1.43075,1.4312,1.44995,1.44065,0.002993,0.001049,0.002478,0.001869
Rome_Tor_Vergata,59233,8,2002,2,3,12,0,0,41.83955,12.647333,130,0.313125,0.15063,0.097515,0.068192,0.313383,0.152867,0.09535,0.069167,0.9101,0.8935,0.8665,0.8463,0.038441,0.0219,0.017304,0.014213,0.68976,0.62056,0.571039,0.543754,0.036667,0.182333,0.497167,0.012,3.146167,0.655,1.749013,2.018238318,1.190739,1.5449,1.5053,1.5086,1.4959,0.017703,0.016573,0.01811,0.018059
Rome_Tor_Vergata,59235,4,2002,4,19,12,0,0,41.83955,12.647333,130,0.387386,0.192546,0.124218,0.093204,0.3877,0.193,0.12352,0.09484,0.928867,0.923033,0.902267,0.902767,0.031423,0.017337,0.014132,0.010679,0.711238,0.642405,0.608192,0.59727,0.0472,0.1798,0.4598,0.0294,2.3616,0.7138,1.6866,1.661033743,1.276169,1.448933,1.4347,1.4255,1.419367,0.010538,0.008945,0.009724,0.008735
Rome_Tor_Vergata,59241,12,2003,4,24,12,0,0,41.83955,12.647333,130,0.378694,0.188702,0.122939,0.097387,0.379543,0.189086,0.123029,0.097186,0.9338,0.90965,0.8809,0.87255,0.028688,0.019723,0.01674,0.01401,0.710459,0.629673,0.589484,0.574537,0.052,0.174571,0.427,0.032857,2.512286,0.704286,1.648005,1.482374403,0.80012,1.5136,1.46995,1.45375,1.44615,0.010142,0.011395,0.013006,0.012885
Rome_Tor_Vergata,59253,16,2003,6,28,12,0,0,41.83955,12.647333,130,0.390419,0.229996,0.17598,0.15849,0.392275,0.2315,0.17725,0.158,0.9912,0.9912,0.9905,0.9902,0.003785,0.002128,0.001684,0.001492,0.715881,0.668006,0.660653,0.657009,0.03575,0.16675,0.45325,0.09625,2.59225,0.65875,1.169926,0.722763355,1.203182,1.4552,1.4715,1.4874,1.5084,0.000683,0.000586,0.000596,0.000612
